Date,Close,Open,Volume
2025-05-14 10:14:00,381.0,381.0,12.0
2025-05-14 10:15:00,381.0,381.0,12.0
2025-05-14 10:16:00,381.0,381.0,12.0
2025-05-14 10:17:00,381.0,381.0,12.0
2025-05-14 10:18:00,381.0,381.0,12.0
2025-05-14 10:19:00,381.0,381.0,13.0
2025-05-14 10:20:00,381.0,381.0,13.0
2025-05-14 10:21:00,381.0,381.0,13.0
2025-05-14 10:22:00,381.0,381.0,13.0
2025-05-14 10:23:00,381.0,381.0,13.0
2025-05-14 10:24:00,382.0,381.0,14.0
2025-05-14 10:25:00,382.0,381.0,14.0
2025-05-14 10:26:00,382.0,381.0,14.0
2025-05-14 10:27:00,382.0,381.0,14.0
2025-05-14 10:28:00,382.0,381.0,14.0
2025-05-14 10:29:00,382.0,381.0,14.0
2025-05-14 10:30:00,382.0,381.0,14.0
2025-05-14 10:31:00,382.0,381.0,14.0
2025-05-14 10:32:00,382.0,381.0,14.0
2025-05-14 10:33:00,382.0,381.0,14.0
2025-05-14 10:34:00,382.0,381.0,14.0
2025-05-14 10:35:00,382.0,381.0,14.0
2025-05-14 10:36:00,382.0,381.0,14.0
2025-05-14 10:37:00,382.0,381.0,14.0
2025-05-14 10:38:00,382.0,381.0,14.0
2025-05-14 10:39:00,382.0,381.0,14.0
2025-05-14 10:40:00,382.0,381.0,14.0
2025-05-14 10:41:00,382.0,381.0,14.0
2025-05-14 10:42:00,382.0,381.0,14.0
2025-05-14 10:43:00,382.0,381.0,14.0
2025-05-14 10:44:00,382.0,381.0,14.0
2025-05-14 10:45:00,382.0,381.0,14.0
2025-05-14 10:46:00,382.0,381.0,14.0
2025-05-14 10:47:00,382.0,381.0,14.0
2025-05-14 10:48:00,382.0,381.0,14.0
2025-05-14 10:49:00,382.0,381.0,14.0
2025-05-14 10:50:00,382.0,381.0,14.0
2025-05-14 10:51:00,382.0,381.0,14.0
2025-05-14 10:52:00,382.0,381.0,14.0
2025-05-14 10:53:00,382.0,381.0,14.0
2025-05-14 10:54:00,382.0,381.0,14.0
2025-05-14 10:55:00,382.0,381.0,14.0
2025-05-14 10:56:00,382.0,381.0,14.0
2025-05-14 10:57:00,382.0,381.0,14.0
2025-05-14 10:58:00,382.0,381.0,14.0
2025-05-14 10:59:00,382.0,381.0,14.0
2025-05-14 11:00:00,382.0,381.0,14.0
2025-05-14 11:01:00,382.0,381.0,14.0
2025-05-14 11:02:00,382.0,381.0,14.0
2025-05-14 11:03:00,382.0,381.0,14.0
2025-05-14 11:04:00,382.0,381.0,14.0
2025-05-14 11:05:00,382.0,381.0,14.0
2025-05-14 11:06:00,382.0,381.0,14.0
2025-05-14 11:07:00,382.0,381.0,14.0
2025-05-14 11:08:00,382.0,381.0,14.0
2025-05-14 11:09:00,382.0,381.0,14.0
2025-05-14 11:10:00,382.0,381.0,14.0
2025-05-14 11:11:00,382.0,381.0,14.0
2025-05-14 11:12:00,382.0,381.0,14.0
2025-05-14 11:13:00,382.0,381.0,14.0
2025-05-14 11:14:00,382.0,381.0,14.0
2025-05-14 11:15:00,382.0,381.0,14.0
2025-05-14 11:16:00,382.0,381.0,14.0
2025-05-14 11:17:00,382.0,381.0,14.0
2025-05-14 11:18:00,382.0,381.0,14.0
2025-05-14 11:19:00,381.0,381.0,17.0
2025-05-14 11:20:00,381.0,381.0,17.0
2025-05-14 11:21:00,381.0,381.0,17.0
2025-05-14 11:22:00,381.0,381.0,17.0
2025-05-14 11:23:00,381.0,381.0,17.0
2025-05-14 11:24:00,381.0,381.0,17.0
2025-05-14 11:25:00,381.0,381.0,17.0
2025-05-14 11:26:00,381.0,381.0,17.0
2025-05-14 11:27:00,381.0,381.0,17.0
2025-05-14 11:28:00,381.0,381.0,17.0
2025-05-14 11:29:00,381.0,381.0,17.0
2025-05-14 11:30:00,381.0,381.0,17.0
2025-05-14 12:30:00,381.0,381.0,18.0
2025-05-14 12:31:00,381.0,381.0,18.0
2025-05-14 12:32:00,381.0,381.0,18.0
2025-05-14 12:33:00,381.0,381.0,19.0
2025-05-14 12:34:00,381.0,381.0,19.0
2025-05-14 12:35:00,381.0,381.0,19.0
2025-05-14 12:36:00,381.0,381.0,19.0
2025-05-14 12:37:00,381.0,381.0,19.0
2025-05-14 12:38:00,381.0,381.0,19.0
2025-05-14 12:39:00,381.0,381.0,19.0
2025-05-14 12:40:00,381.0,381.0,19.0
2025-05-14 12:41:00,381.0,381.0,19.0
2025-05-14 12:42:00,381.0,381.0,19.0
2025-05-14 12:43:00,381.0,381.0,19.0
2025-05-14 12:44:00,381.0,381.0,20.0
2025-05-14 12:45:00,381.0,381.0,20.0
2025-05-14 12:46:00,381.0,381.0,20.0
2025-05-14 12:47:00,381.0,381.0,20.0
2025-05-14 12:48:00,381.0,381.0,20.0
2025-05-14 12:49:00,381.0,381.0,20.0
2025-05-14 12:50:00,381.0,381.0,20.0
2025-05-14 12:51:00,381.0,381.0,20.0
2025-05-14 12:52:00,381.0,381.0,20.0
2025-05-14 12:53:00,381.0,381.0,20.0
2025-05-14 12:54:00,381.0,381.0,20.0
2025-05-14 12:55:00,381.0,381.0,20.0
2025-05-14 12:56:00,381.0,381.0,20.0
2025-05-14 12:57:00,381.0,381.0,20.0
2025-05-14 12:58:00,381.0,381.0,20.0
2025-05-14 12:59:00,381.0,381.0,20.0
2025-05-14 13:00:00,381.0,381.0,20.0
2025-05-14 13:01:00,381.0,381.0,22.0
2025-05-14 13:02:00,381.0,381.0,22.0
2025-05-14 13:03:00,381.0,381.0,22.0
2025-05-14 13:04:00,381.0,381.0,22.0
2025-05-14 13:05:00,381.0,381.0,22.0
2025-05-14 13:06:00,381.0,381.0,22.0
2025-05-14 13:07:00,381.0,381.0,22.0
2025-05-14 13:08:00,381.0,381.0,22.0
2025-05-14 13:09:00,381.0,381.0,22.0
2025-05-14 13:10:00,381.0,381.0,22.0
2025-05-14 13:11:00,381.0,381.0,22.0
2025-05-14 13:12:00,381.0,381.0,22.0
2025-05-14 13:13:00,381.0,381.0,22.0
2025-05-14 13:14:00,381.0,381.0,22.0
2025-05-14 13:15:00,381.0,381.0,22.0
2025-05-14 13:16:00,381.0,381.0,22.0
2025-05-14 13:17:00,381.0,381.0,22.0
2025-05-14 13:18:00,381.0,381.0,22.0
2025-05-14 13:19:00,381.0,381.0,22.0
2025-05-14 13:20:00,381.0,381.0,22.0
2025-05-14 13:21:00,381.0,381.0,22.0
2025-05-14 13:22:00,381.0,381.0,22.0
2025-05-14 13:23:00,381.0,381.0,22.0
2025-05-14 13:24:00,381.0,381.0,22.0
2025-05-14 13:25:00,381.0,381.0,22.0
2025-05-14 13:26:00,381.0,381.0,22.0
2025-05-14 13:27:00,381.0,381.0,22.0
2025-05-14 13:28:00,381.0,381.0,22.0
2025-05-14 13:29:00,381.0,381.0,22.0
2025-05-14 13:30:00,381.0,381.0,23.0
2025-05-14 13:31:00,381.0,381.0,23.0
2025-05-14 13:32:00,381.0,381.0,23.0
2025-05-14 13:33:00,381.0,381.0,23.0
2025-05-14 13:34:00,381.0,381.0,23.0
2025-05-14 13:35:00,381.0,381.0,23.0
2025-05-14 13:36:00,381.0,381.0,23.0
2025-05-14 13:37:00,381.0,381.0,23.0
2025-05-14 13:38:00,381.0,381.0,24.0
2025-05-14 13:39:00,381.0,381.0,24.0
2025-05-14 13:40:00,381.0,381.0,24.0
2025-05-14 13:41:00,381.0,381.0,24.0
2025-05-14 13:42:00,381.0,381.0,24.0
2025-05-14 13:43:00,381.0,381.0,24.0
2025-05-14 13:44:00,381.0,381.0,24.0
2025-05-14 13:45:00,381.0,381.0,24.0
2025-05-14 13:46:00,381.0,381.0,24.0
2025-05-14 13:47:00,381.0,381.0,24.0
2025-05-14 13:48:00,381.0,381.0,24.0
2025-05-14 13:49:00,381.0,381.0,24.0
2025-05-14 13:50:00,381.0,381.0,24.0
2025-05-14 13:51:00,381.0,381.0,24.0
2025-05-14 13:52:00,381.0,381.0,24.0
2025-05-14 13:53:00,381.0,381.0,24.0
2025-05-14 13:54:00,381.0,381.0,24.0
2025-05-14 13:55:00,381.0,381.0,24.0
2025-05-14 13:56:00,381.0,381.0,24.0
2025-05-14 13:57:00,381.0,381.0,24.0
2025-05-14 13:58:00,381.0,381.0,24.0
2025-05-14 13:59:00,381.0,381.0,24.0
2025-05-14 14:00:00,381.0,381.0,24.0
2025-05-14 14:01:00,381.0,381.0,24.0
2025-05-14 14:02:00,381.0,381.0,24.0
2025-05-14 14:03:00,381.0,381.0,24.0
2025-05-14 14:04:00,381.0,381.0,24.0
2025-05-14 14:05:00,381.0,381.0,24.0
2025-05-14 14:06:00,381.0,381.0,24.0
2025-05-14 14:07:00,381.0,381.0,24.0
2025-05-14 14:08:00,381.0,381.0,24.0
2025-05-14 14:09:00,381.0,381.0,24.0
2025-05-14 14:10:00,381.0,381.0,24.0
2025-05-14 14:11:00,381.0,381.0,24.0
2025-05-14 14:12:00,381.0,381.0,24.0
2025-05-14 14:13:00,381.0,381.0,24.0
2025-05-14 14:14:00,381.0,381.0,24.0
2025-05-14 14:15:00,381.0,381.0,24.0
2025-05-14 14:16:00,381.0,381.0,24.0
2025-05-14 14:17:00,381.0,381.0,24.0
2025-05-14 14:18:00,381.0,381.0,24.0
2025-05-14 14:19:00,381.0,381.0,24.0
2025-05-14 14:20:00,381.0,381.0,24.0
2025-05-14 14:21:00,381.0,381.0,24.0
2025-05-14 14:22:00,381.0,381.0,24.0
2025-05-14 14:23:00,381.0,381.0,24.0
2025-05-14 14:24:00,381.0,381.0,24.0
2025-05-14 14:25:00,381.0,381.0,24.0
2025-05-14 14:26:00,381.0,381.0,24.0
2025-05-14 14:27:00,381.0,381.0,24.0
2025-05-14 14:28:00,381.0,381.0,24.0
2025-05-14 14:29:00,381.0,381.0,24.0
2025-05-14 14:30:00,381.0,381.0,24.0
2025-05-14 14:31:00,381.0,381.0,24.0
2025-05-14 14:32:00,381.0,381.0,24.0
2025-05-14 14:33:00,381.0,381.0,24.0
2025-05-14 14:34:00,381.0,381.0,24.0
2025-05-14 14:35:00,381.0,381.0,24.0
2025-05-14 14:36:00,381.0,381.0,24.0
2025-05-14 14:37:00,381.0,381.0,24.0
2025-05-14 14:38:00,381.0,381.0,24.0
2025-05-14 14:39:00,381.0,381.0,24.0
2025-05-14 14:40:00,381.0,381.0,24.0
2025-05-14 14:41:00,381.0,381.0,24.0
2025-05-14 14:42:00,381.0,381.0,24.0
2025-05-14 14:43:00,381.0,381.0,24.0
2025-05-14 14:44:00,381.0,381.0,26.0
2025-05-14 14:45:00,381.0,381.0,26.0
2025-05-14 14:46:00,381.0,381.0,26.0
2025-05-14 14:47:00,381.0,381.0,26.0
2025-05-14 14:48:00,381.0,381.0,26.0
2025-05-14 14:49:00,381.0,381.0,26.0
2025-05-14 14:50:00,381.0,381.0,26.0
2025-05-14 14:51:00,381.0,381.0,26.0
2025-05-14 14:52:00,381.0,381.0,26.0
2025-05-14 14:53:00,381.0,381.0,26.0
2025-05-14 14:54:00,381.0,381.0,26.0
2025-05-14 14:55:00,381.0,381.0,26.0
2025-05-14 14:56:00,381.0,381.0,26.0
2025-05-14 14:57:00,381.0,381.0,26.0
2025-05-14 14:58:00,381.0,381.0,26.0
2025-05-14 14:59:00,381.0,381.0,26.0
2025-05-14 15:00:00,381.0,381.0,26.0
2025-05-14 15:01:00,381.0,381.0,26.0
2025-05-14 15:02:00,381.0,381.0,26.0
2025-05-14 15:03:00,382.0,381.0,28.0
2025-05-14 15:04:00,382.0,381.0,28.0
2025-05-14 15:05:00,382.0,381.0,28.0
2025-05-14 15:06:00,382.0,381.0,28.0
2025-05-14 15:07:00,382.0,381.0,28.0
2025-05-14 15:08:00,382.0,381.0,28.0
2025-05-14 15:09:00,382.0,381.0,28.0
2025-05-14 15:10:00,382.0,381.0,28.0
2025-05-14 15:11:00,382.0,381.0,35.0
2025-05-14 15:12:00,382.0,381.0,35.0
2025-05-14 15:13:00,382.0,381.0,35.0
2025-05-14 15:14:00,382.0,381.0,35.0
2025-05-14 15:15:00,382.0,381.0,35.0
2025-05-14 15:16:00,382.0,381.0,35.0
2025-05-14 15:17:00,382.0,381.0,35.0
2025-05-14 15:18:00,382.0,381.0,35.0
2025-05-14 15:19:00,382.0,381.0,35.0
2025-05-14 15:20:00,382.0,381.0,35.0
2025-05-14 15:21:00,382.0,381.0,35.0
2025-05-14 15:22:00,383.0,381.0,39.0
2025-05-14 15:23:00,383.0,381.0,39.0
2025-05-14 15:24:00,383.0,381.0,39.0
2025-05-14 15:25:00,383.0,381.0,39.0
2025-05-14 15:26:00,383.0,381.0,39.0
2025-05-14 15:27:00,383.0,381.0,39.0
2025-05-14 15:28:00,383.0,381.0,39.0
2025-05-14 15:29:00,383.0,381.0,39.0
2025-05-14 15:30:00,383.0,381.0,47.0
2025-05-15 09:00:00,383.0,383.0,3.0
2025-05-15 09:01:00,383.0,383.0,3.0
2025-05-15 09:02:00,383.0,383.0,3.0
2025-05-15 09:03:00,383.0,383.0,3.0
2025-05-15 09:04:00,383.0,383.0,3.0
2025-05-15 09:05:00,383.0,383.0,3.0
2025-05-15 09:06:00,383.0,383.0,3.0
2025-05-15 09:07:00,383.0,383.0,3.0
2025-05-15 09:08:00,381.0,383.0,7.0
2025-05-15 09:09:00,381.0,383.0,7.0
2025-05-15 09:10:00,381.0,383.0,7.0
2025-05-15 09:11:00,381.0,383.0,7.0
2025-05-15 09:12:00,381.0,383.0,7.0
2025-05-15 09:13:00,381.0,383.0,7.0
2025-05-15 09:14:00,381.0,383.0,7.0
2025-05-15 09:15:00,381.0,383.0,7.0
2025-05-15 09:16:00,381.0,383.0,7.0
2025-05-15 09:17:00,381.0,383.0,7.0
2025-05-15 09:18:00,381.0,383.0,7.0
2025-05-15 09:19:00,381.0,383.0,7.0
2025-05-15 09:20:00,381.0,383.0,7.0
2025-05-15 09:21:00,381.0,383.0,7.0
2025-05-15 09:22:00,381.0,383.0,7.0
2025-05-15 09:23:00,381.0,383.0,7.0
2025-05-15 09:24:00,381.0,383.0,7.0
2025-05-15 09:25:00,381.0,383.0,7.0
2025-05-15 09:26:00,381.0,383.0,7.0
2025-05-15 09:27:00,381.0,383.0,7.0
2025-05-15 09:28:00,381.0,383.0,7.0
2025-05-15 09:29:00,381.0,383.0,7.0
2025-05-15 09:30:00,381.0,383.0,7.0
2025-05-15 09:31:00,381.0,383.0,7.0
2025-05-15 09:32:00,381.0,383.0,7.0
2025-05-15 09:33:00,381.0,383.0,7.0
2025-05-15 09:34:00,381.0,383.0,7.0
2025-05-15 09:35:00,381.0,383.0,7.0
2025-05-15 09:36:00,381.0,383.0,7.0
2025-05-15 09:37:00,381.0,383.0,7.0
2025-05-15 09:38:00,381.0,383.0,7.0
2025-05-15 09:39:00,381.0,383.0,7.0
2025-05-15 09:40:00,381.0,383.0,7.0
2025-05-15 09:41:00,381.0,383.0,7.0
2025-05-15 09:42:00,381.0,383.0,7.0
2025-05-15 09:43:00,381.0,383.0,7.0
2025-05-15 09:44:00,381.0,383.0,7.0
2025-05-15 09:45:00,381.0,383.0,7.0
2025-05-15 09:46:00,381.0,383.0,7.0
2025-05-15 09:47:00,381.0,383.0,7.0
2025-05-15 09:48:00,381.0,383.0,7.0
2025-05-15 09:49:00,381.0,383.0,7.0
2025-05-15 09:50:00,381.0,383.0,7.0
2025-05-15 09:51:00,381.0,383.0,7.0
2025-05-15 09:52:00,381.0,383.0,7.0
2025-05-15 09:53:00,381.0,383.0,7.0
2025-05-15 09:54:00,381.0,383.0,7.0
2025-05-15 09:55:00,381.0,383.0,7.0
2025-05-15 09:56:00,381.0,383.0,7.0
2025-05-15 09:57:00,381.0,383.0,7.0
2025-05-15 09:58:00,381.0,383.0,7.0
2025-05-15 09:59:00,381.0,383.0,7.0
2025-05-15 10:00:00,381.0,383.0,7.0
2025-05-15 10:01:00,381.0,383.0,7.0
2025-05-15 10:02:00,381.0,383.0,7.0
2025-05-15 10:03:00,381.0,383.0,7.0
2025-05-15 10:04:00,381.0,383.0,7.0
2025-05-15 10:05:00,381.0,383.0,7.0
2025-05-15 10:06:00,381.0,383.0,7.0
2025-05-15 10:07:00,381.0,383.0,7.0
2025-05-15 10:08:00,381.0,383.0,7.0
2025-05-15 10:09:00,381.0,383.0,7.0
2025-05-15 10:10:00,381.0,383.0,7.0
2025-05-15 10:11:00,381.0,383.0,7.0
2025-05-15 10:12:00,381.0,383.0,7.0
2025-05-15 10:13:00,381.0,383.0,7.0
2025-05-15 10:14:00,381.0,383.0,7.0
2025-05-15 10:15:00,381.0,383.0,7.0
2025-05-15 10:16:00,381.0,383.0,7.0
2025-05-15 10:17:00,381.0,383.0,7.0
2025-05-15 10:18:00,381.0,383.0,7.0
2025-05-15 10:19:00,381.0,383.0,7.0
2025-05-15 10:20:00,381.0,383.0,7.0
2025-05-15 10:21:00,381.0,383.0,7.0
2025-05-15 10:22:00,381.0,383.0,7.0
2025-05-15 10:23:00,381.0,383.0,8.0
2025-05-15 10:24:00,381.0,383.0,8.0
2025-05-15 10:25:00,381.0,383.0,8.0
2025-05-15 10:26:00,381.0,383.0,8.0
2025-05-15 10:27:00,381.0,383.0,8.0
2025-05-15 10:28:00,381.0,383.0,8.0
2025-05-15 10:29:00,381.0,383.0,8.0
2025-05-15 10:30:00,381.0,383.0,8.0
2025-05-15 10:31:00,381.0,383.0,8.0
2025-05-15 10:32:00,381.0,383.0,8.0
2025-05-15 10:33:00,381.0,383.0,8.0
2025-05-15 10:34:00,381.0,383.0,8.0
2025-05-15 10:35:00,381.0,383.0,8.0
2025-05-15 10:36:00,381.0,383.0,8.0
2025-05-15 10:37:00,381.0,383.0,8.0
2025-05-15 10:38:00,381.0,383.0,8.0
2025-05-15 10:39:00,381.0,383.0,8.0
2025-05-15 10:40:00,381.0,383.0,8.0
2025-05-15 10:41:00,381.0,383.0,8.0
2025-05-15 10:42:00,381.0,383.0,8.0
2025-05-15 10:43:00,381.0,383.0,8.0
2025-05-15 10:44:00,381.0,383.0,8.0
2025-05-15 10:45:00,381.0,383.0,8.0
2025-05-15 10:46:00,381.0,383.0,8.0
2025-05-15 10:47:00,381.0,383.0,8.0
2025-05-15 10:48:00,381.0,383.0,8.0
2025-05-15 10:49:00,381.0,383.0,8.0
2025-05-15 10:50:00,381.0,383.0,8.0
2025-05-15 10:51:00,381.0,383.0,10.0
2025-05-15 10:52:00,381.0,383.0,10.0
2025-05-15 10:53:00,381.0,383.0,10.0
2025-05-15 10:54:00,381.0,383.0,10.0
2025-05-15 10:55:00,381.0,383.0,10.0
2025-05-15 10:56:00,381.0,383.0,10.0
2025-05-15 10:57:00,381.0,383.0,10.0
2025-05-15 10:58:00,381.0,383.0,10.0
2025-05-15 10:59:00,381.0,383.0,10.0
2025-05-15 11:00:00,381.0,383.0,10.0
2025-05-15 11:01:00,381.0,383.0,10.0
2025-05-15 11:02:00,381.0,383.0,10.0
2025-05-15 11:03:00,381.0,383.0,10.0
2025-05-15 11:04:00,381.0,383.0,10.0
2025-05-15 11:05:00,381.0,383.0,10.0
2025-05-15 11:06:00,381.0,383.0,10.0
2025-05-15 11:07:00,381.0,383.0,10.0
2025-05-15 11:08:00,381.0,383.0,10.0
2025-05-15 11:09:00,381.0,383.0,10.0
2025-05-15 11:10:00,381.0,383.0,10.0
2025-05-15 11:11:00,381.0,383.0,10.0
2025-05-15 11:12:00,381.0,383.0,10.0
2025-05-15 11:13:00,380.0,383.0,12.0
2025-05-15 11:14:00,380.0,383.0,12.0
2025-05-15 11:15:00,380.0,383.0,12.0
2025-05-15 11:16:00,380.0,383.0,12.0
2025-05-15 11:17:00,380.0,383.0,12.0
2025-05-15 11:18:00,380.0,383.0,12.0
2025-05-15 11:19:00,380.0,383.0,12.0
2025-05-15 11:20:00,380.0,383.0,12.0
2025-05-15 11:21:00,380.0,383.0,12.0
2025-05-15 11:22:00,380.0,383.0,12.0
2025-05-15 11:23:00,380.0,383.0,12.0
2025-05-15 11:24:00,380.0,383.0,12.0
2025-05-15 11:25:00,380.0,383.0,12.0
2025-05-15 11:26:00,380.0,383.0,12.0
2025-05-15 11:27:00,380.0,383.0,12.0
2025-05-15 11:28:00,380.0,383.0,12.0
2025-05-15 11:29:00,380.0,383.0,12.0
2025-05-15 11:30:00,380.0,383.0,12.0
2025-05-15 12:30:00,380.0,383.0,13.0
2025-05-15 12:31:00,380.0,383.0,13.0
2025-05-15 12:32:00,380.0,383.0,13.0
2025-05-15 12:33:00,380.0,383.0,13.0
2025-05-15 12:34:00,380.0,383.0,13.0
2025-05-15 12:35:00,380.0,383.0,13.0
2025-05-15 12:36:00,380.0,383.0,13.0
2025-05-15 12:37:00,380.0,383.0,13.0
2025-05-15 12:38:00,380.0,383.0,13.0
2025-05-15 12:39:00,380.0,383.0,13.0
2025-05-15 12:40:00,380.0,383.0,13.0
2025-05-15 12:41:00,380.0,383.0,13.0
2025-05-15 12:42:00,380.0,383.0,13.0
2025-05-15 12:43:00,380.0,383.0,13.0
2025-05-15 12:44:00,380.0,383.0,13.0
2025-05-15 12:45:00,380.0,383.0,13.0
2025-05-15 12:46:00,381.0,383.0,14.0
2025-05-15 12:47:00,381.0,383.0,14.0
2025-05-15 12:48:00,381.0,383.0,14.0
2025-05-15 12:49:00,381.0,383.0,14.0
2025-05-15 12:50:00,381.0,383.0,14.0
2025-05-15 12:51:00,381.0,383.0,14.0
2025-05-15 12:52:00,381.0,383.0,14.0
2025-05-15 12:53:00,381.0,383.0,14.0
2025-05-15 12:54:00,381.0,383.0,14.0
2025-05-15 12:55:00,381.0,383.0,14.0
2025-05-15 12:56:00,381.0,383.0,14.0
2025-05-15 12:57:00,381.0,383.0,14.0
2025-05-15 12:58:00,381.0,383.0,14.0
2025-05-15 12:59:00,381.0,383.0,14.0
2025-05-15 13:00:00,381.0,383.0,14.0
2025-05-15 13:01:00,381.0,383.0,14.0
2025-05-15 13:02:00,381.0,383.0,14.0
2025-05-15 13:03:00,381.0,383.0,14.0
2025-05-15 13:04:00,381.0,383.0,14.0
2025-05-15 13:05:00,381.0,383.0,14.0
2025-05-15 13:06:00,381.0,383.0,14.0
2025-05-15 13:07:00,381.0,383.0,14.0
2025-05-15 13:08:00,381.0,383.0,14.0
2025-05-15 13:09:00,381.0,383.0,14.0
2025-05-15 13:10:00,381.0,383.0,14.0
2025-05-15 13:11:00,381.0,383.0,14.0
2025-05-15 13:12:00,381.0,383.0,14.0
2025-05-15 13:13:00,381.0,383.0,14.0
2025-05-15 13:14:00,381.0,383.0,14.0
2025-05-15 13:15:00,381.0,383.0,14.0
2025-05-15 13:16:00,381.0,383.0,14.0
2025-05-15 13:17:00,381.0,383.0,14.0
2025-05-15 13:18:00,382.0,383.0,15.0
2025-05-15 13:19:00,382.0,383.0,15.0
2025-05-15 13:20:00,382.0,383.0,15.0
2025-05-15 13:21:00,382.0,383.0,15.0
2025-05-15 13:22:00,382.0,383.0,15.0
2025-05-15 13:23:00,382.0,383.0,15.0
2025-05-15 13:24:00,382.0,383.0,15.0
2025-05-15 13:25:00,382.0,383.0,15.0
2025-05-15 13:26:00,382.0,383.0,15.0
2025-05-15 13:27:00,382.0,383.0,15.0
2025-05-15 13:28:00,382.0,383.0,15.0
2025-05-15 13:29:00,382.0,383.0,15.0
2025-05-15 13:30:00,382.0,383.0,15.0
2025-05-15 13:31:00,382.0,383.0,15.0
2025-05-15 13:32:00,382.0,383.0,15.0
2025-05-15 13:33:00,382.0,383.0,15.0
2025-05-15 13:34:00,382.0,383.0,15.0
2025-05-15 13:35:00,382.0,383.0,15.0
2025-05-15 13:36:00,382.0,383.0,15.0
2025-05-15 13:37:00,382.0,383.0,15.0
2025-05-15 13:38:00,382.0,383.0,15.0
2025-05-15 13:39:00,382.0,383.0,15.0
2025-05-15 13:40:00,382.0,383.0,15.0
2025-05-15 13:41:00,382.0,383.0,15.0
2025-05-15 13:42:00,382.0,383.0,15.0
2025-05-15 13:43:00,382.0,383.0,15.0
2025-05-15 13:44:00,382.0,383.0,15.0
2025-05-15 13:45:00,382.0,383.0,15.0
2025-05-15 13:46:00,382.0,383.0,15.0
2025-05-15 13:47:00,382.0,383.0,15.0
2025-05-15 13:48:00,382.0,383.0,15.0
2025-05-15 13:49:00,382.0,383.0,15.0
2025-05-15 13:50:00,382.0,383.0,15.0
2025-05-15 13:51:00,382.0,383.0,15.0
2025-05-15 13:52:00,382.0,383.0,15.0
2025-05-15 13:53:00,382.0,383.0,15.0
2025-05-15 13:54:00,382.0,383.0,15.0
2025-05-15 13:55:00,382.0,383.0,15.0
2025-05-15 13:56:00,382.0,383.0,15.0
2025-05-15 13:57:00,382.0,383.0,15.0
2025-05-15 13:58:00,382.0,383.0,15.0
2025-05-15 13:59:00,382.0,383.0,15.0
2025-05-15 14:00:00,382.0,383.0,15.0
2025-05-15 14:01:00,382.0,383.0,15.0
2025-05-15 14:02:00,382.0,383.0,15.0
2025-05-15 14:03:00,382.0,383.0,15.0
2025-05-15 14:04:00,382.0,383.0,15.0
2025-05-15 14:05:00,382.0,383.0,15.0
2025-05-15 14:06:00,382.0,383.0,15.0
2025-05-15 14:07:00,382.0,383.0,15.0
2025-05-15 14:08:00,382.0,383.0,15.0
2025-05-15 14:09:00,382.0,383.0,15.0
2025-05-15 14:10:00,382.0,383.0,15.0
2025-05-15 14:11:00,382.0,383.0,15.0
2025-05-15 14:12:00,382.0,383.0,15.0
2025-05-15 14:13:00,382.0,383.0,15.0
2025-05-15 14:14:00,382.0,383.0,15.0
2025-05-15 14:15:00,382.0,383.0,15.0
2025-05-15 14:16:00,382.0,383.0,15.0
2025-05-15 14:17:00,382.0,383.0,15.0
2025-05-15 14:18:00,382.0,383.0,15.0
2025-05-15 14:19:00,382.0,383.0,15.0
2025-05-15 14:20:00,382.0,383.0,15.0
2025-05-15 14:21:00,382.0,383.0,15.0
2025-05-15 14:22:00,382.0,383.0,15.0
2025-05-15 14:23:00,382.0,383.0,15.0
2025-05-15 14:24:00,382.0,383.0,15.0
2025-05-15 14:25:00,382.0,383.0,15.0
2025-05-15 14:26:00,382.0,383.0,15.0
2025-05-15 14:27:00,382.0,383.0,15.0
2025-05-15 14:28:00,382.0,383.0,15.0
2025-05-15 14:29:00,382.0,383.0,15.0
2025-05-15 14:30:00,382.0,383.0,15.0
2025-05-15 14:31:00,382.0,383.0,16.0
2025-05-15 14:32:00,382.0,383.0,16.0
2025-05-15 14:33:00,382.0,383.0,16.0
2025-05-15 14:34:00,382.0,383.0,16.0
2025-05-15 14:35:00,382.0,383.0,16.0
2025-05-15 14:36:00,382.0,383.0,16.0
2025-05-15 14:37:00,382.0,383.0,16.0
2025-05-15 14:38:00,382.0,383.0,16.0
2025-05-15 14:39:00,382.0,383.0,16.0
2025-05-15 14:40:00,382.0,383.0,16.0
2025-05-15 14:41:00,382.0,383.0,16.0
2025-05-15 14:42:00,382.0,383.0,16.0
2025-05-15 14:43:00,382.0,383.0,16.0
2025-05-15 14:44:00,382.0,383.0,16.0
2025-05-15 14:45:00,382.0,383.0,16.0
2025-05-15 14:46:00,382.0,383.0,16.0
2025-05-15 14:47:00,382.0,383.0,16.0
2025-05-15 14:48:00,382.0,383.0,16.0
2025-05-15 14:49:00,382.0,383.0,16.0
2025-05-15 14:50:00,382.0,383.0,16.0
2025-05-15 14:51:00,382.0,383.0,16.0
2025-05-15 14:52:00,382.0,383.0,17.0
2025-05-15 14:53:00,382.0,383.0,17.0
2025-05-15 14:54:00,382.0,383.0,17.0
2025-05-15 14:55:00,382.0,383.0,17.0
2025-05-15 14:56:00,382.0,383.0,17.0
2025-05-15 14:57:00,382.0,383.0,17.0
2025-05-15 14:58:00,382.0,383.0,17.0
2025-05-15 14:59:00,382.0,383.0,17.0
